Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Acceleration,Cars Prices,Fuel Types,Seats,Torque
Nissan,Murano CrossCabriolet,3.5L V6,,260,195 km/h,7.0,47000.0,Petrol,4,325.0
Nissan,X-Trail Tekna,1.5L Turbo Hybrid,,204,190 km/h,8.0,43000.0,Hybrid,5,305.0
Nissan,GT-R LM NISMO,3.0L Twin-Turbo V6 Hybrid,,500,320 km/h,3.0,600000.0,Hybrid,2,650.0
Nissan,Skyline 400R,3.0L Twin-Turbo V6,,400,250 km/h,4.0,70000.0,Petrol,5,475.0
Nissan,Infiniti G37*,3.7L V6,,328,250 km/h,5.0,42000.0,Petrol,5,365.0
Nissan,Patrol Black Edition,5.6L V8,,400,200 km/h,6.0,85000.0,Petrol,7,560.0
Nissan,Ariya Empower+,Dual Electric Motors,,389,200 km/h,5.0,68000.0,Electric,5,600.0
Nissan,Datsun 510 (Classic),1.6L Inline-4,,96,175 km/h,10.0,25000.0,Petrol,4,135.0
Nissan,200SX,2.0L Turbo Inline-4,,200,240 km/h,7.0,30000.0,Petrol,4,265.0
Nissan,300ZX,3.0L Twin-Turbo V6,,300,250 km/h,5.0,50000.0,Petrol,4,384.0
